County_FIPS_Code,State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,Strata_Determining_Factors,Number_Counties,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Rpt_Ind,Shig_Exp,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,A_Wh_Comp,A_Bl_Comp,A_Ot_Comp,A_Hi_Comp,A_Wh_BirthDef,A_Bl_BirthDef,A_Ot_BirthDef,A_Hi_BirthDef,B_Wh_Injury,B_Bl_Injury,B_Ot_Injury,B_Hi_Injury,B_Wh_Cancer,B_Bl_Cancer,B_Ot_Cancer,B_Hi_Cancer,B_Wh_Homicide,B_Bl_Homicide,B_Ot_Homicide,B_Hi_Homicide,C_Wh_Injury,C_Bl_Injury,C_Ot_Injury,C_Hi_Injury,C_Wh_Homicide,C_Bl_Homicide,C_Ot_homicide,C_Hi_Homicide,C_Wh_Suicide,C_Bl_Suicide,C_Ot_Suicide,C_Hi_Suicide,C_Wh_Cancer,C_Bl_Cancer,C_Ot_Cancer,C_Hi_Cancer,D_Wh_Injury,D_Bl_Injury,D_Ot_Injury,D_Hi_Injury,D_Wh_Cancer,D_Bl_Cancer,D_Ot_Cancer,D_Hi_Cancer,D_Wh_HeartDis,D_Bl_HeartDis,D_Ot_HeartDis,D_Hi_HeartDis,D_Wh_Suicide,D_Bl_Suicide,D_Ot_Suicide,D_Hi_Suicide,D_Wh_HIV,D_Bl_HIV,D_Ot_HIV,D_Hi_HIV,D_Wh_Homicide,D_Bl_Homicide,D_Ot_Homicide,D_Hi_Homicide,E_Wh_Cancer,E_Bl_Cancer,E_Ot_Cancer,E_Hi_Cancer,E_Wh_HeartDis,E_Bl_HeartDis,E_Ot_HeartDis,E_Hi_HeartDis,F_Wh_HeartDis,F_Bl_HeartDis,F_Ot_HeartDis,F_Hi_HeartDis,F_Wh_Cancer,F_Bl_Cancer,F_Ot_Cancer,F_Hi_Cancer,LCD_Time_Span,ALE,US_ALE,All_Death,US_All_Death,Health_Status,US_Health_Status,Unhealthy_Days,US_Unhealthy_Days,Suicide,LBW,VLBW,Premature,Under_18,Over_40,Unmarried,Late_Care,Infant_Mortality,IM_Hisp,IM_Neonatal,IM_Postneonatal,Brst_Cancer,Col_Cancer,CHD,Homicide,Lung_Cancer,MVA,Stroke,Suicide..160,Injury,Total_Births,Total_Deaths
81,30,Ravalli,Montana,MT,49,"frontier status, population size, poverty, age, population density",35,39940,17,14,22.7,61.1,13.9,2.2,97.4,0.2,1,0.4,2.4,3511,861,935,2918,2024,5,4,2,12,3,24,0,3,7,14997,1,1,1,1,1,1,NA,17.7,75.3,17.3,27.2,19.7,6.2,6529,5862,953,62.6,42.6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,18,NA,NA,NA,10,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,23,NA,NA,NA,23,NA,NA,NA,23,NA,NA,NA,NA,77.8,76.5,761.5,898.6,12.8,17.1,5.9,6,15.8,6.5,1.2,12.5,3.1,3.1,22.6,14,7.6,NA,5.2,2.4,13.1,18.3,88.1,NA,48.1,23.1,61.9,15.8,26,2098,1683
83,30,Richland,Montana,MT,83,"frontier status, population size, poverty, age",29,9096,4,13.1,23.1,60.8,13.7,2.4,97.5,0.2,1.8,0.2,2.8,1034,174,238,662,474,0,3,1,4,3,10,0,3,10,364759,1,1,1,1,1,1,NA,27.2,76.4,21.6,29.1,18.9,7.9,1474,1493,205,66,33,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,19,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,31,NA,NA,NA,42,NA,NA,NA,21,NA,NA,NA,NA,77.5,76.5,899.6,898.6,13.3,17.1,5,6,NA,5.7,0.4,13.7,3.9,1.1,27.6,14.6,4.3,NA,3.2,1.1,25.7,22,262,NA,58,26,58.1,NA,15,1053,1025
85,30,Roosevelt,Montana,MT,86,"frontier status, population size, poverty, age",38,10524,4,26.2,33,56.4,9.2,1.5,38.2,0.2,59.2,0.6,2,1178,264,210,673,577,1,4,1,13,4,13,71,4,34,212460,1,1,1,1,1,1,NA,32.3,73.7,30.9,28.8,33.6,13.8,2797,1237,169,38,19,2,2,NA,NA,29,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,25,NA,NA,NA,13,NA,NA,NA,NA,NA,40,NA,47,NA,15,NA,NA,NA,20,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,13,NA,25,NA,28,NA,33,NA,29,NA,19,NA,22,NA,NA,75.8,76.5,1072.2,898.6,19.5,17.1,6.5,6,18.4,5.8,1.1,12.7,7.9,1.6,62.4,28.4,11,NA,4.4,6.6,20.8,29,209.9,20.2,59.7,45.4,59.6,18.4,60.3,2013,1051
87,30,Rosebud,Montana,MT,86,"frontier status, population size, poverty, age",38,9212,2,18,31.1,59.6,8.3,1,62.5,0.3,35,0.6,2.9,868,239,166,605,486,1,4,1,2,3,12,5,3,31,12539757,1,1,1,1,1,1,NA,26.9,79.5,30.9,24.6,22.3,7.4,1958,952,170,54.3,65.1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,13,NA,34,NA,20,NA,28,NA,27,NA,23,NA,12,NA,NA,72.8,76.5,1065,898.6,14.6,17.1,5.5,6,16.2,7.3,1.4,13.3,6.7,1.8,50,29,14,NA,6.7,7.3,25.2,20.9,160.3,NA,68.9,49.1,59.1,16.2,33.1,1648,755
89,30,Sanders,Montana,MT,88,"frontier status, population size, poverty, age",23,11057,4,17.1,20.7,61,16.3,2.1,93.1,0.2,4.5,0.3,2.1,1498,287,280,829,557,5,4,1,14,4,14,1,3,8,4291,1,1,1,1,1,1,NA,26.3,75.7,21,19.9,19.3,8.7,2313,1867,406,63.3,9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,15,NA,NA,NA,10,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,21,NA,NA,NA,32,NA,30,NA,24,NA,27,NA,NA,76.1,76.5,865.1,898.6,14.2,17.1,5.7,6,24.4,7.9,1.9,11.8,5.3,3.1,28.2,25.8,8.5,NA,5.3,3.2,24.2,17.3,193.9,NA,57.3,46.6,61,24.4,35.9,1033,1072
91,30,Sheridan,Montana,MT,81,"frontier status, population size, poverty, age",58,3524,2,12.7,17.7,56.9,20.8,4.7,97.2,0.3,1.6,0.3,1.4,497,64,81,274,176,2,4,1,2,3,5,1,4,0,NA,1,1,1,1,1,1,NA,34.4,78.2,23.6,NA,19.5,5.5,541,916,72,28.4,28.4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,27,NA,NA,NA,31,NA,NA,NA,24,NA,NA,NA,NA,75.8,76.5,812,898.6,13.6,17.1,5.1,6,26.3,6.1,NA,12.9,3.2,2.3,18.6,10.7,NA,NA,NA,NA,27.6,19.6,127.3,NA,58.9,NA,54.6,26.3,23.4,311,614
93,30,Silver Bow,Montana,MT,49,"frontier status, population size, poverty, age, population density",35,32982,46,15.9,22.5,61,13.6,3,95.7,0.3,2.2,0.5,2.9,3353,748,781,2414,1749,1,3,2,15,3,22,2,3,7,26365237,1,1,1,1,1,1,NA,23.9,78.9,16.9,28.7,21.7,4.8,4906,5330,1051,84.9,48.5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,14,NA,NA,NA,15,NA,NA,NA,15,NA,NA,NA,12,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,24,NA,NA,NA,28,NA,NA,NA,21,NA,NA,NA,NA,75.4,76.5,974.7,898.6,16.6,17.1,5.7,6,20.4,7.9,1.2,11.5,4,2.2,35.6,15.2,4.2,NA,2.6,1.6,32,28.7,180.7,NA,66.2,16,67,20.4,25.9,1906,2139
95,30,Stillwater,Montana,MT,81,"frontier status, population size, poverty, age",58,8493,5,9.4,22.3,62.8,13.3,1.6,97.7,0.2,1,0.3,2,752,143,235,623,418,2,4,2,3,3,9,1,4,1,1071957,1,1,1,1,1,1,NA,31.7,79.1,18.8,23.1,22.1,5.5,1150,1206,124,35.3,11.8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,28,NA,NA,NA,28,NA,NA,NA,24,NA,NA,NA,NA,79.3,76.5,791.4,898.6,12.5,17.1,4.2,6,NA,5.5,0.6,9.2,2.6,2.9,15.2,12.8,2.6,NA,0,2.6,NA,17.6,139.8,NA,43.5,22.3,74.6,NA,20.4,841,711
97,30,Sweet Grass,Montana,MT,81,"frontier status, population size, poverty, age",58,3672,2,10.2,23.4,60.1,13.7,2.8,97.9,0.1,0.5,0.7,1.7,287,55,60,266,179,0,3,1,8,4,4,0,3,0,397501,1,1,1,1,1,1,NA,22.6,70.8,19,NA,18.1,3.4,566,556,46,54.5,27.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,22,NA,NA,NA,29,NA,NA,NA,20,NA,NA,NA,NA,79.3,76.5,731.5,898.6,11.1,17.1,5,6,NA,7.4,2.2,9.4,1.4,2.5,14.9,17.1,15.2,NA,NA,NA,NA,23.2,110.3,NA,41.2,NA,64.4,NA,17.7,363,386
99,30,Teton,Montana,MT,85,"frontier status, population size, poverty, age",25,6240,3,13.7,23.5,58,15.4,3,96.8,0.2,1.6,0.3,1.2,706,106,117,451,322,1,4,1,5,3,5,0,3,3,NA,1,1,1,1,1,1,NA,23.7,79.2,19.8,27.3,16.4,4,1099,1062,126,32.1,32.1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,25,NA,NA,NA,29,NA,NA,NA,21,NA,NA,NA,NA,74.4,76.5,831.5,898.6,14.3,17.1,4.6,6,14.1,4.9,0.8,9.3,2.2,2.2,12.6,20.6,3.1,NA,1.5,1.5,NA,23.5,166.7,NA,52,40.8,62.9,14.1,25,720,726
101,30,Toole,Montana,MT,85,"frontier status, population size, poverty, age",25,5031,3,14.1,22.1,65.2,10.2,2.5,93,0.2,4.8,0.3,2,659,84,97,371,270,0,3,1,6,4,4,1,3,3,NA,1,1,1,1,1,1,NA,29.9,73.1,27.9,NA,27.8,6.5,816,460,52,99.4,59.6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,29,NA,NA,NA,27,NA,NA,NA,24,NA,NA,NA,NA,76.9,76.5,872.8,898.6,12.7,17.1,4.9,6,NA,6.6,0.9,10.6,3.2,1.5,25.1,15.2,NA,NA,NA,NA,NA,26.5,143.6,NA,49,30.8,59,NA,37.3,529,550
103,30,Treasure,Montana,MT,85,"frontier status, population size, poverty, age",25,689,1,12.5,22,60.2,14.5,3.3,97.4,0.1,1.9,0.4,1.9,66,17,14,51,37,0,3,0,0,3,1,0,3,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,143,165,12,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,30,NA,NA,NA,NA,72.8,76.5,642.3,898.6,NA,17.1,NA,6,NA,NA,NA,9.7,NA,NA,22.6,24.2,NA,NA,NA,NA,NA,NA,143.4,NA,NA,NA,NA,NA,NA,62,71
105,30,Valley,Montana,MT,84,"frontier status, population size, poverty, age",52,7143,1,14.6,22.5,57.5,17.4,2.6,88.2,0.2,9.9,0.3,0.9,805,148,196,522,355,1,3,2,7,3,9,0,3,2,NA,1,1,1,1,1,1,NA,29.1,72.3,21.9,25.1,21.2,7.1,1351,1526,152,28,42,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,20,NA,NA,NA,28,NA,13,NA,23,NA,43,NA,NA,76.8,76.5,911,898.6,13.2,17.1,4.1,6,22.2,4.5,0.9,10.5,4.5,1.8,34.9,18.3,4.9,NA,3.7,1.2,18,22,136.1,NA,48.4,39.2,42.3,22.2,28,906,967
107,30,Wheatland,Montana,MT,87,"frontier status, population size, poverty, age",32,2037,1,20.1,25.8,54.9,15.8,3.5,97.3,0.2,1.4,0.4,1.3,424,43,49,143,103,0,3,0,1,3,3,0,3,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,19,3.4,517,399,55,98.2,49.1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,29,NA,NA,NA,37,NA,NA,NA,17,NA,NA,NA,NA,76.4,76.5,809.2,898.6,12.7,17.1,4.5,6,NA,4.5,NA,11.4,2.7,NA,22.7,36.1,NA,NA,NA,NA,NA,NA,146,NA,31.1,47.4,53.3,NA,NA,264,272
109,30,Wibaux,Montana,MT,87,"frontier status, population size, poverty, age",32,951,1,12.7,20,56.1,20.2,3.7,98.9,0,0.5,0.2,0.5,161,17,20,72,48,0,3,0,0,3,1,0,3,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,190,200,15,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,22,NA,NA,NA,NA,77.5,76.5,1026.1,898.6,NA,17.1,NA,6,NA,7.8,NA,13.7,NA,NA,11.7,16.7,NA,NA,NA,NA,NA,NA,175.2,NA,NA,NA,NA,NA,NA,103,175
111,30,Yellowstone,Montana,MT,14,"frontier status, population size, poverty, age",40,136691,52,12.1,24.1,62.3,11.4,2.2,93.6,0.5,3.5,0.6,3.8,10614,2577,1469,9800,7063,13,4,4,43,4,51,9,3,16,912242,1,1,1,1,1,1,NA,21.8,78.9,21.4,25.2,21.1,5.5,17770,17407,2629,102.4,55.6,1,2,41,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,13,NA,NA,NA,11,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,23,NA,23,NA,27,NA,25,NA,16,28,21,NA,44,17,NA,77.9,76.5,811.5,898.6,12.6,17.1,5.7,6,17.2,7.2,1.1,10.1,2.9,1.9,33.1,15,7.4,NA,4.4,3,21.8,18.3,114.1,3.9,58.4,18.2,59.2,17.2,20.7,5282,3541
1,31,Adams,Nebraska,NE,26,"frontier status, population size, poverty, age",40,33070,59,10.1,25,59.9,12.1,3,95.5,0.9,0.5,2.5,5.9,2939,555,549,2007,1330,12,4,3,20,4,17,4,4,3,744343,1,1,1,1,1,1,NA,22.7,81,24.4,27.4,21,5.5,2956,4585,609,84.7,66.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,17,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,23,NA,NA,NA,35,NA,NA,NA,20,NA,NA,NA,NA,78.2,76.5,721.9,898.6,14.7,17.1,4.7,6,7.3,6.1,1.6,10.8,3.2,1.7,27.4,12.4,6.9,NA,5.9,1,18.8,22.8,111.6,NA,48.5,10.4,50.4,7.3,17.2,2021,1517
3,31,Antelope,Nebraska,NE,40,"frontier status, population size, poverty, age",62,7004,8,11.8,24,56.3,15.8,3.9,99.4,0.1,0.3,0,1,694,131,123,431,265,1,3,1,5,3,8,3,4,2,NA,1,1,1,1,1,1,NA,27.2,76.9,23.4,NA,20.3,7.1,1142,1303,106,57.1,14.3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,16,NA,NA,NA,32,NA,NA,NA,20,NA,NA,NA,NA,78.7,76.5,712.3,898.6,16.4,17.1,5.8,6,NA,3.4,0.4,8.2,2.2,2.5,16.3,15.7,4.3,NA,1.4,2.9,23.8,30.2,135.4,NA,43.6,18.1,55.2,NA,22.4,789,866
5,31,Arthur,Nebraska,NE,81,"frontier status, population size, poverty, age",58,378,1,9.8,21.7,58.7,16.9,2.6,98.4,0,0,1.3,1.9,28,11,6,24,14,0,3,0,0,3,1,0,3,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,26,NA,NA,NA,NA,78.4,76.5,818.9,898.6,NA,17.1,NA,6,NA,NA,NA,NA,NA,NA,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,41
7,31,Banner,Nebraska,NE,80,"frontier status, population size, poverty, age",41,733,1,8.1,23.6,61.1,13.4,1.9,99.6,0.1,0.1,0,6,29,11,16,46,29,0,3,0,0,3,1,0,3,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,14,NA,NA,NA,NA,76.4,76.5,775.9,898.6,NA,17.1,NA,6,NA,NA,NA,9.4,NA,NA,17,26.4,NA,NA,NA,NA,NA,NA,178.3,NA,NA,NA,NA,NA,NA,53,54
9,31,Blaine,Nebraska,NE,82,"frontier status, population size, poverty, age",37,484,1,15,21.3,56,18.4,4.3,99.4,0,0.6,0,0.2,23,13,12,31,17,0,3,0,0,3,1,0,3,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,166,96,12,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,29,NA,NA,NA,NA,78.3,76.5,778.5,898.6,NA,17.1,NA,6,NA,NA,NA,8.8,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,195.4,NA,NA,NA,NA,NA,NA,80,56
11,31,Boone,Nebraska,NE,40,"frontier status, population size, poverty, age",62,5772,8,10,24.8,54.2,16.8,4.2,99.8,0.1,0,0.1,1.3,609,110,83,352,220,12,4,1,22,4,7,2,4,2,NA,1,1,1,1,1,1,NA,26.1,NA,28.8,NA,17.6,4.4,898,1278,69,121.3,34.7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,32,NA,NA,NA,31,NA,NA,NA,22,NA,NA,NA,NA,78.7,76.5,689.2,898.6,12.6,17.1,4.2,6,NA,5,0.7,8,2.8,2.1,19.2,16.7,6.7,NA,5,1.7,22.9,17.7,96.1,NA,31.5,30,48.1,NA,27.5,676,711
13,31,Box Butte,Nebraska,NE,39,"frontier status, population size, poverty, age",51,11374,11,11.4,26,59.1,12.7,2.3,94.5,0.5,3.2,0.6,9.1,904,233,177,680,415,0,3,1,12,3,17,11,4,7,11482,1,1,1,1,1,1,NA,22.7,80.3,28.1,21,27.8,5.8,1549,1697,232,35.2,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,15,NA,NA,NA,13,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,28,NA,NA,NA,40,NA,25,NA,19,NA,13,NA,NA,78.3,76.5,871.9,898.6,14.9,17.1,3.9,6,14.1,5.2,0.8,9.6,4.3,1.1,30,17.1,6.9,NA,5.5,1.4,23.7,23.7,232.1,NA,49.5,27,50.1,14.1,18.3,1621,1283
15,31,Boyd,Nebraska,NE,81,"frontier status, population size, poverty, age",58,2261,4,11.6,21.2,54.8,19.3,4.7,99.2,0,0.6,0.2,0.1,273,41,93,144,84,3,4,1,1,3,3,0,3,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,3.8,399,618,39,265.4,44.2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,22,NA,NA,NA,42,NA,NA,NA,19,NA,NA,NA,NA,79.5,76.5,749.4,898.6,16.9,17.1,3.6,6,NA,5,NA,6.3,2.1,3.3,9.2,14.6,NA,NA,NA,NA,NA,NA,174.6,NA,31,NA,42.3,NA,NA,239,368
17,31,Brown,Nebraska,NE,84,"frontier status, population size, poverty, age",52,3328,3,11.4,21.8,54.6,18.9,4.7,99,0,0.2,0.4,1,400,62,89,210,118,6,4,1,1,3,4,0,3,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,5.9,708,757,61,90.1,30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,37,NA,NA,NA,27,NA,NA,NA,21,NA,NA,NA,NA,79.5,76.5,710.8,898.6,17.5,17.1,4.5,6,NA,6.8,NA,9.3,3,2,15.1,17.8,NA,NA,NA,NA,NA,15.6,105.3,NA,36.4,NA,45,NA,NA,398,462
